sample_id,trace_id,parent_folder,peak_count,mean_peak_amplitude,max_peak_amplitude,stimulus_capsaicin_100nM_has_peak,stimulus_capsaicin_100nM_max_height,stimulus_capsaicin_100nM_peak_time,stimulus_capsaicin_100nM_gradient_time,stimulus_capsaicin_100nM_max_gradient,stimulus_KCl_50mM_has_peak,stimulus_KCl_50mM_max_height,stimulus_KCl_50mM_peak_time,stimulus_KCl_50mM_gradient_time,stimulus_KCl_50mM_max_gradient,stimulus_KCl_75mM_has_peak,stimulus_KCl_75mM_max_height,stimulus_KCl_75mM_peak_time,stimulus_KCl_75mM_gradient_time,stimulus_KCl_75mM_max_gradient,sample_corr_global,stimulus_corr_capsaicin_100nM,stimulus_corr_KCl_50mM,stimulus_corr_KCl_75mM,group
2nd_B1,2nd_B1_0,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,6,2.374223929826315,6.937257814428088,True,5.560963582443395,101.10707749542468,99.4569619873391,0.4352723957168151,False,,,,,True,6.937257814428088,303.50124508715606,300.321022471573,0.5763140621252136,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
2nd_B1,2nd_B1_1,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,8,1.968040972207775,7.634354014385607,True,7.634354014385607,100.62704389307251,99.90699348954426,0.9366890504745043,True,1.9346843004821959,201.04407308511594,199.51396597761843,0.24278140231190667,True,4.74105512810055,302.33116318142265,299.84098886922084,0.7473080597243631,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
2nd_B1,2nd_B1_2,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
2nd_B1,2nd_B1_3,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
2nd_B1,2nd_B1_4,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,7,2.4637849619862497,7.839611250451359,True,1.2936834430861925,122.61858330083105,122.01854129789083,1.9319215455663092,True,1.878805456604434,270.8589601272089,249.82748792415467,4.151719456112019,True,7.839611250451359,301.94113587951153,300.53103717260205,0.6836671842102479,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
2nd_B1,2nd_B1_5,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,7,2.4637849619862497,7.839611250451359,True,1.2936834430861925,122.61858330083105,122.01854129789083,1.9319215455663092,True,1.878805456604434,270.8589601272089,249.82748792415467,4.151719456112019,True,7.839611250451359,301.94113587951153,300.53103717260205,0.6836671842102479,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
2nd_B1,2nd_B1_6,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
2nd_B1,2nd_B1_7,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
2nd_B1,2nd_B1_8,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
2nd_B1,2nd_B1_9,run_real_data_20260318_174848_real_2nd_B1_ica_mukamel_n_120,0,0.0,0.0,False,,,,,False,,,,,False,,,,,0.16791509576982547,0.06584981647142975,0.06736745924551153,0.09088546905999871,Control
